PCA Identifier,Address,Location of Activity,Potentially Contaminating Activity (PCA),Description and Approximate timeline that PCA Occurred,Contribution to APEC at the Site,Source
89,915 Bay Street,Off-Site (155 m north),#10 -Commercial Autobody Shops,"Based on the FIPs, an auto repair shop is located at 45 St. Vincent Street (currently 915 Bay Street), approximately 155 m north. distance",No Located at a significant.,FIP
90,2 to 8 Maitland Street,Off-Site (155 m northeast),#10 -Commercial Auto Body Shops,"Based on the city directory, the property located at 2 to 8 Maitland Street, approximately 155 m northeast, was occupied by K & S Auto Tire & Rubber Co in 1919, Specialty Manufacturing Co in 1940 and Seiberling Tires in 1950.",No Inferred trans-gradient.,CD
91,2 to 8 Maitland Street,Off-Site (155 m northeast),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the city directory, the property located at 2 to 8 Maitland Street, approximately 155 m northeast, was occupied by K & S Auto Tire & Rubber Co in 1919, Specialty Manufacturing Co in 1940 and Seiberling Tires in 1950.",No Inferred trans-gradient.,CD
92,2 to 8 Maitland Street,Off-Site (155 m northeast),"#47 -Rubber Manufacturing and Processing 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site","Based on the city directory, the property located at 2 to 8 Maitland Street, approximately 155 m northeast, was occupied by K & S Auto Tire & Rubber Co in 1919, Specialty Manufacturing Co in 1940 and Seiberling Tires in 1950.",No Inferred trans-gradient.,CD
93,444 Yonge Street,Off-Site (155 m southeast),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the ERIS report, the property located at 444 Yonge Street, approximately 155 m southeast, occupied in 1957 by Kalupe Jewellery Ltd., was listed as having operation of jewellery, precious metals.",No Located downgradient.,ERIS
94,444 Yonge Street,Off-Site (155 m southeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the ERIS report, the property located at 444 Yonge Street, approximately 155 m southeast, occupied by Dust Free Services Ltd and had a record of approximately 2000 kg of tetrachloroethylene in 2004.",No Located downgradient.,ERIS
95,796 Bay Street,Off-Site (155 m southwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 796 Bay Street, approximately 155 m southwest, occupied by College Auto Washing Station, had a record of a 500-gallon gasoline tank in 1923.",No Located downgradient.,ERIS
96,3 Maitland Street,Off-Site (155 m northeast),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 3 Maitland Street, approximately 155 m northeast, was occupied by Anderson Body Repairs Auto Repairs from 1960 to 1971.",No Inferred trans-gradient.,CD
97,538 Yonge Street,Off-Site (160 m northeast),#10 -Commercial Autobody Shops,"Based on the ERIS report, the property located at 538 Yonge Street, approximately 160 m northeast, occupied by Universal Garage, had two (2) records of a gasoline tank in 1923. The property was listed as having operation of auto service garage.",No Located downgradient.,ERIS
98,538 Yonge Street,Off-Site (160 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 538 Yonge Street, approximately 160 m northeast, occupied by Universal Garage, had two (2) records of a gasoline tank in 1923. The property was listed as having operation of auto service garage.",No Located downgradient.,ERIS
99,3 Carlton Street,Off-Site (170 m southeast),"#52-Storage, Maintenance, Fueling and Repair of Equipment, Vehicles, and Material Used to Maintain Transportation Systems","Based on the ERIS report, the property located at 3 Carlton Street, approximately 170 m southeast, occupied by Toronto Transit Commission, was listed as a waste generator of inert inorganic wastes, light fuels, oil skimmings’ and sludges between 1995 and 2017.",No Located downgradient.,ERIS
100,3 Carlton Street,Off-Site (170 m southeast),Other -Spill/Leak of Gasoline and Associated Products,"Based on the ERIS report, a spill of approximately 450 L of diesel fuel and water mixture occurred in 2015 at 3 Carlton Street, approximately 170 m southeast. 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",No Located downgradient.,ERIS
101,4 to 8 Wood Street,Off-Site (180 m southeast),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 4 to 8 Wood Street, approximately 180 m southeast, was occupied by Tegelaar & Williams Garage in 1919, Auto Radiator Specialist in 1929 and Rolling Motor Service in 1940.",No Located downgradient.,CD
102,14 Carlton Street,Off-Site (185 m southeast),"#18 -Electricity Generation, Transformation and Power Stations","Based on the ERIS report, the property located at 14 Carlton Street, approximately 185 m southeast, occupied by Toronto Hydro-Electric System Ltd., was listed as a waste generator of other specified inorganics, oil skimmings’ and sludges, PCBs, inorganic laboratory chemicals, paint/pigment/coating residues, aliphatic solvents, alkaline wastes - other metals, organic laboratory chemicals, detergents/soaps, waste compressed gases, pathological wastes, light fuels and petroleum distillates between 1986 and 2017. The property was listed as having operation of electric power generation, transmission and distribution. The property located at 14 Carlton Street, approximately 185 m southeast, occupied by Toronto Hydro Electric System, had two (2) records of storage of askarel in 1990 and 1993. The property had two (2) records of PCB storage between 1989 and 2008.",No Located downgradient.,ERIS
103,14 Carlton Street,Off-Site (185 m southeast),"#55 -Transformer Manufacturing, Processing and Use","Based on the ERIS report, the property located at 14 Carlton Street, approximately 185 m southeast, occupied by Toronto Hydro-Electric System Ltd., was listed as a waste generator of other specified inorganics, oil skimmings’ and sludges, PCBs, inorganic laboratory chemicals, paint/pigment/coating residues, aliphatic solvents, alkaline wastes - other metals, organic laboratory chemicals, detergents/soaps, waste compressed gases, pathological wastes, light fuels and petroleum distillates between 1986 and 2017. The property was listed as having operation of electric power generation, transmission and distribution. The property located at 14 Carlton Street, approximately 185 m southeast, occupied by Toronto Hydro Electric System, had two (2) records of storage of askarel in 1990 and 1993. The property had two (2) records of PCB storage between 1989 and 2008.",No Located downgradient.,ERIS
104,531 Yonge Street,Off-Site (185 m northeast),#37 -Operation of Dry Cleaning Equipment (Where Chemicals are Used),"Based on the ERIS report, the property located at 531 Yonge Street, approximately 185 m northeast, occupied by Best Serve Cleaners, listed as a waste generator of halogenated solvents between 1992 and 1998.",No Inferred trans-gradient.,ERIS
105,543 Yonge Street,Off-Site (190 m northeast),#10 -Commercial Autobody Shops,"Based on the FIPS, York Motors Ltd. including garage and showroom is located at 543 Yonge Street, approximately 190 m northeast.",No Inferred trans-gradient.,FIP
106,35 Wellesley Street West,Off-Site (190 m north),"#18 -Electricity Generation, Transformation and Power Stations","Based on the FIPs, Toronto Hydro Electric System including garage, stock and repairs is located at 35 Wellesley Street West, approximately 190 m north with an UST located on the northern portion of the property.",No Inferred trans-gradient.,FIP
107,35 Wellesley Street West,Off-Site (190 m north),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPs, Toronto Hydro Electric System including garage, stock and repairs is located at 35 Wellesley Street West, approximately 190 m north with an UST located on the northern portion of the property.",No Inferred trans-gradient.,FIP
108,7 Carlton Street,Off-Site (190 m southeast),#29 -Glass Manufacturing,"Based on the ERIS report, the property located at 7 Carlton Street, approximately 190 m southeast, occupied in 1995 by Imagine Inc., was listed as having operations of manufacturing and reproducing magnetic and optical media.",No Located downgradient.,ERIS
109,900 Bay Street,Off-Site (195 m northwest),Other -Spill/Leak of Gasoline and Associated Products,"Based on the ERIS report, an oil spill was identified in basement excavation in 2004 at 900 Bay Street, approximately 195 m northwest.",No Locate at a significant distance.,ERIS
110,9 Carlton Street,Off-Site (195 m southeast),"#18 -Electricity Generation, Transformation and Power Stations","Based on the ERIS report, the property located at 9 Carlton Street, approximately 195 m southeast, occupied by Toronto Transit Commission, was listed as a waste generator of inert inorganic wastes, oil skimmings’ and sludges between 1998 and 2001.",No Located downgradient.,ERIS
111,67 College Street,Off-Site (200 m southwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 67 College Street, approximately 200 m southwest, occupied by Canadian Red Cross Society, obtained a certificate of approval for industrial air in 1993 for a storage tank generator.",No Located downgradient.,ERIS
112,67 College Street,Off-Site (200 m southwest),"#55 -Transformer Manufacturing, Processing and Use. Basedon the ERIS report, the property located at 67 College Street, approximately 200 m southwest, occupied by Canadian Red Cross Society, had two (2) records of storage of askarel in 1996 and four (4) records of storage of ballasts with high level of PCBs between 1995 and 2000.","Based on the ERIS report, the property located at 67 College Street, approximately 200 m southwest, occupied by Canadian Red Cross Society, obtained a certificate of approval for industrial air in 1993 for a storage tank generator.",No Located downgradient.,ERIS
113,945 Bay Street,Off-Site (205 m northwest),#10 -Commercial Autobody Shops,"Based on the ERIS report, the property located at 945 Bay Street, approximately 205 m northwest, occupied by Republic Motor Car Co of Canada and Toronto Hydro-Electric System Ltd, had a record of",No Inferred trans-gradient.,ERIS
114,945 Bay Street,Off-Site (205 m northwest),"#18 -Electricity Generation, Transformation and Power Stations a gasoline pedestal in 1929 and a gas pump on curb in 1924. The property was listed as having operation of garage and municipal electric utility.","Based on the ERIS report, the property located at 945 Bay Street, approximately 205 m northwest, occupied by Republic Motor Car Co of Canada and Toronto Hydro-Electric System Ltd, had a record of",No Inferred trans-gradient.,ERIS
115,945 Bay Street,Off-Site (205 m northwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 945 Bay Street, approximately 205 m northwest, occupied by Republic Motor Car Co of Canada and Toronto Hydro-Electric System Ltd, had a record of",No Inferred trans-gradient.,ERIS
116,945 Bay Street,Off-Site (205 m northwest),"#55 -Transformer Manufacturing, Processing and Use","Based on the ERIS report, the property located at 945 Bay Street, approximately 205 m northwest, occupied by Ministry of Government Services, had two (2) records of storage of askarel in 1996 and two (2) records of storage of ballasts with high level of PCBs in 1995 and 2000.",No Inferred trans-gradient.,ERIS
117,80 Grosvenor Street,Off-Site (210 m west),"#55 -Transformer Manufacturing, Processing and Use","Based on the ERIS report, a transformer explosion inside a hydro vault was occurred in 1990 at 80 Grosvenor Street, approximately 210 m west.",No Inferred trans-gradient.,ERIS
118,433 Yonge Street,Off-Site (220 m southeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 433 Yonge Street, approximately 220 m southeast, occupied by Astoria Café, had a record of two (2) fuel tanks in 1928.",No Located downgradient.,ERIS
119,750 and 752 Bay Street,Off-Site (220 m southwest),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the ERIS report, the property located at 750 and 752 Bay Street, approximately 220 m southwest, was occupied by Burroughs Business Machines from 1960 to 1978/79.",No Located downgradient.,ERIS
120,5 Wellesley Street West,Off-Site (230 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 5 Wellesley Street West, approximately 230 m northeast, had a record of a fuel oil tank in 1933.",No Inferred trans-gradient.,ERIS
121,36 Alexander Street,Off-Site (230 m east),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 36 Alexander Street, approximately 230 m east, occupied by Calkins Dr H W, had a record of a fuel oil tank in 1926.",No Inferred trans-gradient.,ERIS
122,555 Yonge Street,Off-Site (230 m northeast),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the ERIS report, the property located at 555 Yonge Street, approximately 230 m northeast, occupied by Fisher Thomas, had a record of a gasoline tank in 1927. 27 Grosvenor Street and 26 Grenville Street, Toronto, ON PCA Identifier Address Location of Activity (In relation to Site)1 Potentially Contaminating Activity (PCA)2 Description and Approximate timeline that PCA Occurred Contribution to APEC at the Site",No Inferred trans-gradient.,ERIS
123,555 Yonge Street,Off-Site (230 m northeast),"#55 -Transformer Manufacturing, Processing and Use","Based on the ERIS report, the property located at 555 Yonge Street, approximately 230 m northeast, occupied by Geranium Homes, had two (2) records of storage of askarel in 1996 and three (3) records of storage of ballasts with high level of PCBs between 1998 and 2000.",No Inferred trans-gradient.,ERIS
124,761 Bay Street,Off-Site (230 m south),#11 -Commercial Trucking and Container Terminals,"Based on the FIPS, T. Eaton Co. Limited, a department store including auto and truck garage is Street) approximately 230 m south with two (2) USTs located on the northern portion and transformers located on the southeastern portion of the property.",located at 28 to 48 Hayter Street (currently 761 Bay No Located downgradient.,FIP
125,761 Bay Street,Off-Site (230 m south),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPS, T. Eaton Co. Limited, a department store including auto and truck garage is Street) approximately 230 m south with two (2) USTs located on the northern portion and transformers located on the southeastern portion of the property.",located at 28 to 48 Hayter Street (currently 761 Bay No Located downgradient.,FIP
126,761 Bay Street,Off-Site (230 m south),"#55 -Transformer Manufacturing, Processing and Use","Based on the FIPS, T. Eaton Co. Limited, a department store including auto and truck garage is Street) approximately 230 m south with two (2) USTs located on the northern portion and transformers located on the southeastern portion of the property.",located at 28 to 48 Hayter Street (currently 761 Bay No Located downgradient.,FIP
127,956 Bay Street,Off-Site (250 m northwest),#10 -Commercial Autobody Shops,"Based on the FIPs, a gasoline service station is northwest with six (6) USTs located on the northern portion of the property. distance","located at 956 Bay Street, approximately 250 m No Located at a significant.",FIP
128,956 Bay Street,Off-Site (250 m northwest),#28 -Gasoline and Associated Products Storage in Fixed Tanks,"Based on the FIPs, a gasoline service station is northwest with six (6) USTs located on the northern portion of the property. distance","located at 956 Bay Street, approximately 250 m No Located at a significant.",FIP
129,740 Bay Street,Off-Site (250 m southwest),"#33 -Metal Treatment, Coating, Plating, and Finishing","Based on the city directory, the property located at 740 Bay Street, approximately 250 m southwest, was occupied by Burroughs Adding Machines in 1960.",No Located downgradient.,CD
130,744 Bay Street,Off-Site (250 m southwest),#10 -Commercial Autobody Shops,"Based on the city directory, the property located at 744 Bay Street, approximately 250 m southwest, was occupied by Hunter Tire Co in 1950 and Lippett Tire Service in 1960.",No Located downgradient.,CD
